pred,ref,bert_p,bert_r,bert_f1
"The user would buy the book because they're a fan of John Hart's writing, having read and enjoyed his previous works, and are eager to experience more of his unique storytelling style and suspenseful plots.","The user would buy the book because they thoroughly enjoyed the author's writing style and are eager to read more of his work, indicating a strong desire to continue exploring his storytelling and characters.",0.5958254933357239,0.6702638268470764,0.6333938837051392
"The user would buy the book because it offers a lighthearted, humorous, and relatable storyline that they enjoyed, with a focus on animal encounters, making it a fun and entertaining read.","The user would buy the book as they can relate to the themes of cultural immersion and self-discovery, providing a sense of reassurance and understanding of their own experiences moving to a foreign country.",0.4459094703197479,0.42722827196121216,0.4374677240848541
"The user would buy the book because they found it engaging and entertaining, and enjoyed the story, characters, and world-building, indicating a strong interest in continuing the series.","The user would buy this book because it's a gift for their granddaughter, fulfilling her desire to add to her collection of ""keep books"", and Amazon's timely delivery made it a perfect Christmas present.",0.3361850082874298,0.2335953265428543,0.2855466306209564
"The user would buy the book because they enjoyed the author's previous works and are eager to read another engaging story, likely drawn by the author's unique writing style and captivating storytelling.","I would buy this book because it evokes strong emotions, suggesting a captivating and relatable story that appeals to a wide age range, making it a compelling read for both young audiences and adults.",0.32692423462867737,0.2626113295555115,0.2957148849964142
"The user would buy the book because it offers a unique perspective on the human condition and challenges readers to question their assumptions, making it an engaging and thought-provoking read that encourages introspection and self-reflection.","The user would buy the book because it offers a unique and relatable perspective on autism, written in an engaging and humorous tone, which may resonate with readers looking for a fresh and empathetic portrayal of the autism experience.",0.5106101632118225,0.5043395161628723,0.508273184299469
"The user would buy the book because they enjoyed the author's writing style, found the story engaging, and appreciated the historical context, indicating a strong interest in the subject matter and a desire to read more of the author's work.","The user would buy the book due to its enjoyable descriptions of the river, early settlements, and terrain, outweighing some minor drawbacks, such as mediocre character development and explicit content.",0.31436824798583984,0.30137670040130615,0.3089888095855713
"The user would buy the book because they're a fan of the author and have enjoyed their previous works, and are eager to continue reading more of their books.","The user would buy the book because they have a strong attachment to the characters and storyline, having finished it in 5 days, indicating strong engagement and enthusiasm, and are eager for more from the same author.",0.6045655608177185,0.473084419965744,0.5387831926345825
"The user would buy the book because they are a fan of the series and have enjoyed previous installments, and are eager to continue the story and find out what happens next with the main character, Lucy Guardino.","The user would buy the book because the author delivered an engaging and suspenseful story with a thrilling ending, likable characters, and a relatable protagonist, making it a page-turner even for new readers to the series.",0.41343921422958374,0.37889716029167175,0.3970928490161896
"The user would buy the book because it's a heartwarming and engaging story that they found themselves invested in, with relatable characters and a satisfying ending, making it a great read for a cozy evening or vacation.","The user would buy the book because they are invested in the characters and want to continue reading about their journey, indicating a strong emotional connection and attachment to the series.",0.40877148509025574,0.5180608034133911,0.46373769640922546
"The user would buy the book because they enjoy the author's writing style, the unique blend of mystery and romance, and the character development of the protagonist, Eve Dallas, who is a strong and complex woman with a compelling backstory.","The user would buy this book because they enjoy the classic mystery style, appreciate the character development of Eve and her friends, and are invested in the relationship between Eve and Roarke, which adds a romantic element to the story.",0.5718886852264404,0.5512582063674927,0.5622659921646118
"The user would buy the book because they are a fan of the series and enjoy the unique blend of science fiction and mystery, as well as the relatable and engaging characters, making it a must-read for their enjoyment.","The user would buy the book because they're invested in the character development and relationships established in the series, enjoying the predictable yet engaging narrative and are eager to see the characters' lives unfold in the next installment.",0.5281663537025452,0.5192404985427856,0.5244734287261963
"The user would buy the book because they are a fan of Nicholas Sparks' previous work and enjoy his storytelling style, making them eager to read his latest book.","The user would buy the book because they are a fan of Nicholas Sparks and are drawn to the suspenseful twist, indicating they're looking for a thrilling and possibly emotional reading experience.",0.5875548124313354,0.5451232194900513,0.5669612884521484
"The user would buy the book because it has a unique blend of mystery, suspense, and romance, with a strong female protagonist and a complex storyline that keeps them engaged and guessing until the very end.","The user would buy the book because it is a captivating blend of multiple genres, with a complex plot, intriguing characters, and a unique blend of thriller, mystery, suspense, and romance elements.",0.6174073815345764,0.6872637867927551,0.6526835560798645
"The user would buy the book because it's a captivating and immersive story that explores the complexities of family, love, and loyalty, and offers a unique blend of supernatural and historical elements that will keep readers engaged and invested in the characters and their struggles.","The user would buy this book because of Victoria Schwab's high praise for the author, indicating a trust in their consistent ability to deliver engaging and imaginative storytelling.",0.306425541639328,0.3470817804336548,0.32777032256126404
